iter	Accuracy	MultiClass
425	0.802375	0.5463783251
426	0.8025	0.5461589911
427	0.803	0.5456552192
428	0.803625	0.545413345
429	0.803125	0.5448573683
430	0.804125	0.5442768205
431	0.804375	0.5440369325
432	0.80475	0.5434656982
433	0.8055	0.5430989339
434	0.804875	0.5426552187
435	0.806625	0.542118044
436	0.806125	0.541886852
437	0.80675	0.5415260557
438	0.806625	0.5409403449
439	0.806375	0.5403720842
440	0.807	0.5400008501
441	0.807	0.5397831083
442	0.808125	0.5392922561
443	0.8095	0.5385084312
444	0.81025	0.5380411111
445	0.810875	0.5378282817
446	0.810625	0.5373791829
447	0.81	0.5370509969
448	0.810125	0.536572626
449	0.811125	0.5361785921
450	0.811125	0.5360033528
451	0.811375	0.5359024302
452	0.8115	0.5357484786
453	0.811375	0.5354503533
454	0.811375	0.5351204144
455	0.811625	0.5349759268
456	0.811875	0.534697227
457	0.812	0.5344905459
458	0.811375	0.5341574266
459	0.811125	0.533893196
460	0.812	0.5334217491
461	0.811625	0.5332891509
462	0.8125	0.5329083493
463	0.811875	0.5323609402
464	0.811875	0.5322138636
465	0.812125	0.53190735
466	0.81275	0.5314567384
467	0.812625	0.5311808937
468	0.812625	0.5310044492
469	0.812875	0.5307894262
470	0.813	0.5304428607
471	0.814125	0.5299927606
472	0.814	0.5294615055
473	0.814	0.5290710634
474	0.814	0.5288673124
475	0.815875	0.528169517
476	0.816	0.5279458121
477	0.816	0.5275202742
478	0.8165	0.5270118598
479	0.8165	0.5268479342
480	0.816875	0.5263272342
481	0.816875	0.5260818412
482	0.816375	0.5257000984
483	0.815875	0.5253612866
484	0.81575	0.524994561
485	0.815625	0.524774694
486	0.815875	0.5245508024
487	0.816375	0.5243044456
488	0.816	0.5239506836
489	0.816375	0.5236121534
490	0.81625	0.5233455929
491	0.817375	0.522857301
492	0.8195	0.5222063459
493	0.819625	0.521945198
494	0.819625	0.5217315333
495	0.8195	0.5213258168
496	0.82	0.5209663387
497	0.821	0.5207263023
498	0.82025	0.5201101912
499	0.82075	0.5198527887
